"Borrower ID","Product","Acquired","Market","Type of loan","Term","Loan size","Loan status","Borrower origination fee","Borrower rate","Loan servicing fee","Investor rate","Transaction price","Transaction date","Amount invested","Capital outstanding","Interest outstanding","Amount repaid","Capital repaid","Interest repaid","Amount in arrears","Days in arrears","Repayment day","Covered by Safeguard","Comment","Loan start date","Last repayment date","Default price","Default date","Monthly repayment amount","Type of asset","Loan purpose","Percentage repaid"
"161b6dc7ec2a","Zopa Plus","24-12-2018","A*","Unsecured","11","1364.0","Closed","0.0","0.1161","0.0701","0.046","","","20.0","0.0","0.0","20.45745012","20.0","0.45745012","0.0","","24","false","","24-12-2018","24-11-2019","","","1.92002527","","Other","1.0"
"f502a5dadbc1","Zopa Plus","25-12-2018","A*","Unsecured","60","20000.0","Withdrawn","0.0","0.0334","0.003","0.0304","","","20.0","15.62279095","0.934942406708063","5.02847586","4.37720905","0.65126681","0.0","","3","false","[29/03/2019] Replacement payment made via debit card.[26/03/2019] Replacement payment requested via Direct Debit.[26/03/2019] Borrower has been notified of missed payment.","25-12-2018","03-01-2024","","","0.36195647","","Car","0.2188604525"
"0943e405b27d","Zopa Plus","22-12-2018","A*","Unsecured","11","5828.0","Closed","0.0","0.1161","0.0701","0.046","","","20.0","0.0","0.0","20.4885657","20.0","0.4885657","0.0","","1","false","[04/06/2019] Borrower has been notified of missed payment.","22-12-2018","01-12-2019","","","1.92002527","","Other","1.0"
"85bcadda6adf","Zopa Plus","27-12-2018","A*","Unsecured","11","5760.0","Closed","0.0","0.1161","0.0701","0.046","","","20.0","0.0","0.0","20.17681671","20.0","0.17681671","0.0","","27","false","","27-12-2018","27-11-2019","","","1.92002527","","Other","1.0"
"5235f96555c9","Zopa Plus","27-12-2018","E","Unsecured","36","5000.0","Arrangement","790.0","0.2113","0.01","0.2013","","","10.0","8.01075791","2.962122659826864","3.41746183","1.98924209","1.42821974","1.7845433",">90 days","16","false","[07/02/2020] Active Arrangement [16/01/2020] Borrower has been notified of missed payment.[17/12/2019] Borrower has been notified of missed payment.[19/11/2019] Borrower has been notified of missed payment.[08/07/2019] Borrower has been notified of missed payment.","27-12-2018","16-01-2022","","","0.36819708","","Other","0.198924209"
"d11682a0ed81","Zopa Plus","24-12-2018","A*","Unsecured","11","1600.0","Closed","0.0","0.1161","0.0701","0.046","","","20.0","0.0","0.0","20.45745012","20.0","0.45745012","0.0","","24","false","","24-12-2018","24-11-2019","","","1.92002527","","Other","1.0"
"1a9229a9a672","Zopa Plus","25-12-2018","A*","Unsecured","60","10000.0","Withdrawn","0.0","0.0304","0.003","0.0274","","","20.0","15.59754062","0.829332825861075","4.98139952","4.40245938","0.57894014","0.0","","2","false","","25-12-2018","02-01-2024","","","0.35936002","","Car","0.220122969"
"5cd74a43e267","Zopa Plus","10-01-2019","A*","Unsecured","60","15000.0","Withdrawn","0.0","0.0294","0.003","0.0264","","","10.0","7.79454578","0.404847609798863","2.47881448","2.20545422","0.27336026","0.0","","10","false","","10-01-2019","10-01-2024","","","0.1792478","","Car","0.220545422"
"0cd74ba00c8d","Zopa Plus","16-01-2019","D","Unsecured","60","8000.0","Default","400.0","0.2552","0.01","0.2452","","","10.0","9.01435495","4.971864000198429","2.8602688","0.98564505","1.87462375","0.31976454",">90 days","2","false","[09/01/2020] IVA APPROVED. [03/01/2020] Borrower has been notified of missed payment.[18/12/2019] Borrower is under financial difficulties, with debt management company ","16-01-2019","02-02-2024","0.0","09-01-2020","0.28159524","","Consolidate existing debts","0.098564505"
"e96bb23dae2b","Zopa Plus","16-01-2019","B","Unsecured","48","16000.0","Withdrawn","470.0","0.1024","0.003","0.0994","","","10.0","7.6643327","1.327130412207031","3.25734627","2.3356673","0.92167897","0.25261214","1-30 days","16","false","[17/03/2020] Borrower has been notified of missed payment.[13/03/2020] Customer is experiencing financial difficulties. ","16-01-2019","16-01-2023","","","0.25261214","","Consolidate existing debts","0.23356673"
"84fd9930657a","Zopa Plus","19-02-2019","A*","Unsecured","11","8380.0","Closed","0.0","0.1161","0.0741","0.042","","","10.0","0.0","0.0","10.20920583","10.0","0.20920583","0.0","","19","false","","19-02-2019","19-01-2020","","","0.96001264","","Other","1.0"
"5272a86c4d69","Zopa Plus","23-01-2019","B","Unsecured","48","7500.0","Withdrawn","530.0","0.1187","0.006","0.1127","","","10.0","7.71812452","1.304217740248318","3.32420927","2.28187548","1.04233379","0.0","","23","false","","23-01-2019","23-01-2023","","","0.25976506","","Home improvements","0.228187548"
"2f4b33d35dbe","Zopa Plus","17-07-2019","A*","Unsecured","11","1648.0","Withdrawn","0.0","0.1161","0.0741","0.042","","","10.0","2.82787238","0.018871254780719","7.36185021","7.17212762","0.18972259","0.0","","17","false","","17-07-2019","17-06-2020","","","0.96001264","","Other","0.717212762"
"b066612936c9","Zopa Plus","10-07-2019","A*","Unsecured","11","1052.0","Withdrawn","0.0","0.1161","0.0741","0.042","","","10.0","2.82787238","0.018871254780719","7.36185021","7.17212762","0.18972259","0.0","","10","false","","10-07-2019","10-06-2020","","","0.96001264","","Other","0.717212762"
"5cadbd80e0bb","Zopa Plus","30-08-2019","A*","Unsecured","11","2020.0","Withdrawn","0.0","0.1161","0.0741","0.042","","","20.0","9.34087497","0.093786028942344","10.98070911","10.65912503","0.32158408","0.0","","30","false","","30-08-2019","30-07-2020","","","1.92002527","","Other","0.5329562515"
"96bd062d9202","Zopa Plus","30-07-2019","A*","Unsecured","10","6139.97","Withdrawn","0.0","0.1414","0.0741","0.0673","","","10.0","3.11654902","0.032998222822408","7.15368441","6.88345098","0.27023343","0.0","","30","false","","30-07-2019","30-05-2020","","","1.06195987","","Other","0.688345098"
"66a7c2c6794c","Zopa Plus","28-02-2019","B","Unsecured","60","8000.0","Closed","370.0","0.1315","0.006","0.1255","","","10.0","0.0","0.0","10.70047638","10.0","0.70047638","0.0","","28","false","","28-02-2019","28-02-2024","","","0.22456372","","Consolidate existing debts","1.0"
"864a6ace0ae9","Zopa Plus","12-12-2018","B","Unsecured","48","13000.0","Withdrawn","690.0","0.1085","0.003","0.1055","","","20.0","14.60985246","2.177142660057846","7.62346742","5.39014754","2.23331988","0.0","","17","false","","12-12-2018","17-12-2022","","","0.51057286","","Other","0.269507377"
"26587c0dc67b","Zopa Plus","20-02-2019","B","Unsecured","48","24000.0","Withdrawn","1540.0","0.1025","0.006","0.0965","","","10.0","7.85320279","1.169685227373126","2.99489986","2.14679721","0.84810265","0.0","","20","false","[27/09/2019] Replacement payment made via debit card.[23/09/2019] Borrower has been notified of missed payment.[21/08/2019] Replacement payment requested via Direct Debit.[21/08/2019] Borrower has been notified of missed payment.[21/05/2019] Replacement payment requested via Direct Debit.[21/05/2019] Borrower has been notified of missed payment.","20-02-2019","20-02-2023","","","0.25265596","","Consolidate existing debts","0.214679721"
"2c4a578e9533","Zopa Plus","03-07-2019","A*","Unsecured","36","25000.0","Withdrawn","250.0","0.0424","0.003","0.0394","","","10.0","7.8841717","0.373983220283474","2.35010564","2.1158283","0.23427734","0.0","","3","false","","03-07-2019","03-07-2022","","","0.2959511","","Wedding expenses","0.21158283"
"c6e390778ec1","Zopa Plus","10-09-2019","A","Unsecured","60","15000.0","Withdrawn","880.0","0.0732","0.003","0.0702","","","10.0","9.15133619","1.499001496978744","1.17690555","0.84866381","0.32824174","0.0","","10","false","","10-09-2019","10-09-2024","","","0.19841477","","Home improvements","0.084866381"
